Value,Variable,Description
150.0,SCALE1,Scale factor for plan and elevation
75.0,SCALE2,Scale factor for sections
15.0,SKEW,Skew angle in degrees
98.0,DATUM,Datum level
112.0,TOPRL,Top level on Y axis
-15.0,LEFT,Starting chainage of X axis
45.0,RIGHT,End chainage of X axis
6.0,XINCR,Interval of distances on X axis
1.5,YINCR,Interval of levels on Y axis
9,NOCH,Total number of chainages
3,NSPAN,Number of spans
60.0,LBRIDGE,Length of bridge
-15.0,ABTL,Chainage of left abutment
107.0,RTL,Road top level
104.0,Sofl,Soffit level
0.35,KERBW,Width of kerb
0.22,KERBD,Depth of kerb
8.5,CCBR,Clear carriageway width
0.22,SLBTHC,Thickness of slab at center
0.18,SLBTHE,Thickness of slab at edge
0.12,SLBTHT,Thickness of slab at tip
105.0,CAPT,Pier cap top RL
104.5,CAPB,Pier cap bottom RL
1.4,CAPW,Cap width
1.3,PIERTW,Pier top width
11.0,BATTR,Pier batter
9.0,PIERST,Straight length of pier
2,PIERN,Pier serial number
20.0,SPAN1,Span individual length
96.0,FUTRL,Founding RL
1.1,FUTD,Depth of footing
3.2,FUTW,Width of footing
6.5,FUTL,Length of footing
0.35,DWTH,Dirtwall thickness
1.1,ALCW,Abutment left cap width
1.1,ALCD,Abutment left cap depth
11.0,ALFB,Abutment left front batter
102.0,ALFBL,Abutment left front batter RL
11.0,ALTB,Abutment left toe batter
101.5,ALTBL,Abutment left toe batter level
0.55,ALFO,Abutment left front offset
1.1,ALFD,Abutment left footing depth
9.0,ALBB,Abutment left back batter
102.5,ALBBL,Abutment left back batter RL
102.0,ALFBR,Abutment right front batter RL
101.5,ALTBR,Abutment right toe batter level
102.5,ALBBR,Abutment right back batter RL
96.0,ARFL,Abutment right footing level
