Value,Variable,Description
90.0,SCALE1,Scale factor for plan and elevation
45.0,SCALE2,Scale factor for sections
8.0,SKEW,Skew angle in degrees
96.0,DATUM,Datum level
109.0,TOPRL,Top level on Y axis
-8.0,LEFT,Starting chainage of X axis
37.0,RIGHT,End chainage of X axis
4.5,XINCR,Interval of distances on X axis
0.9,YINCR,Interval of levels on Y axis
7,NOCH,Total number of chainages
1,NSPAN,Number of spans
35.0,LBRIDGE,Length of bridge
-8.0,ABTL,Chainage of left abutment
105.0,RTL,Road top level
102.5,Sofl,Soffit level
0.28,KERBW,Width of kerb
0.19,KERBD,Depth of kerb
7.4,CCBR,Clear carriageway width
0.19,SLBTHC,Thickness of slab at center
0.16,SLBTHE,Thickness of slab at edge
0.1,SLBTHT,Thickness of slab at tip
103.5,CAPT,Pier cap top RL
103.0,CAPB,Pier cap bottom RL
1.15,CAPW,Cap width
0.95,PIERTW,Pier top width
9.5,BATTR,Pier batter
7.5,PIERST,Straight length of pier
1,PIERN,Pier serial number
35.0,SPAN1,Span individual length
94.5,FUTRL,Founding RL
0.95,FUTD,Depth of footing
2.9,FUTW,Width of footing
5.8,FUTL,Length of footing
0.29,DWTH,Dirtwall thickness
0.95,ALCW,Abutment left cap width
0.95,ALCD,Abutment left cap depth
9.5,ALFB,Abutment left front batter
100.5,ALFBL,Abutment left front batter RL
9.5,ALTB,Abutment left toe batter
100.0,ALTBL,Abutment left toe batter level
0.47,ALFO,Abutment left front offset
0.95,ALFD,Abutment left footing depth
7.5,ALBB,Abutment left back batter
101.0,ALBBL,Abutment left back batter RL
100.5,ALFBR,Abutment right front batter RL
100.0,ALTBR,Abutment right toe batter level
101.0,ALBBR,Abutment right back batter RL
94.5,ARFL,Abutment right footing level
