Value,Variable,Description
120.0,SCALE1,Scale factor for plan and elevation
60.0,SCALE2,Scale factor for sections
12.0,SKEW,Skew angle in degrees
97.0,DATUM,Datum level
111.0,TOPRL,Top level on Y axis
-10.0,LEFT,Starting chainage of X axis
40.0,RIGHT,End chainage of X axis
5.5,XINCR,Interval of distances on X axis
1.2,YINCR,Interval of levels on Y axis
8,NOCH,Total number of chainages
4,NSPAN,Number of spans
80.0,LBRIDGE,Length of bridge
-10.0,ABTL,Chainage of left abutment
106.0,RTL,Road top level
103.5,Sofl,Soffit level
0.32,KERBW,Width of kerb
0.21,KERBD,Depth of kerb
7.8,CCBR,Clear carriageway width
0.21,SLBTHC,Thickness of slab at center
0.17,SLBTHE,Thickness of slab at edge
0.11,SLBTHT,Thickness of slab at tip
104.5,CAPT,Pier cap top RL
104.0,CAPB,Pier cap bottom RL
1.3,CAPW,Cap width
1.1,PIERTW,Pier top width
10.5,BATTR,Pier batter
8.5,PIERST,Straight length of pier
3,PIERN,Pier serial number
20.0,SPAN1,Span individual length
95.5,FUTRL,Founding RL
1.05,FUTD,Depth of footing
3.1,FUTW,Width of footing
6.2,FUTL,Length of footing
0.32,DWTH,Dirtwall thickness
1.05,ALCW,Abutment left cap width
1.05,ALCD,Abutment left cap depth
10.5,ALFB,Abutment left front batter
101.5,ALFBL,Abutment left front batter RL
10.5,ALTB,Abutment left toe batter
101.0,ALTBL,Abutment left toe batter level
0.52,ALFO,Abutment left front offset
1.05,ALFD,Abutment left footing depth
8.5,ALBB,Abutment left back batter
102.0,ALBBL,Abutment left back batter RL
101.5,ALFBR,Abutment right front batter RL
101.0,ALTBR,Abutment right toe batter level
102.0,ALBBR,Abutment right back batter RL
95.5,ARFL,Abutment right footing level
